FileName,FileLastModifedDate,FileSize,FileSharePath,UserSubscribed,ErrorCode,ErrorDetail,IsDownload,FileLastDownloadedDateGEO_2016_HIS_V01_M_V01_A_GMD_GPWG.dta,12/22/2017 3:56:31 PM,353347 bytes,\GEO\GEO_2016_HIS\GEO_2016_HIS_V01_M_V01_A_GMD\GEO_2016_HIS_V01_M_V01_A_GMD_GPWG.dta,Subscribed,2,Publicly available for download for any registered users,,
GEO_2016_HIS_V01_M_V02_A_GMD_GPWG.dta,6/25/2018 11:08:07 AM,2989253 bytes,\GEO\GEO_2016_HIS\GEO_2016_HIS_V01_M_V02_A_GMD\GEO_2016_HIS_V01_M_V02_A_GMD_GPWG.dta,Subscribed,2,Publicly available for download for any registered users,,
GEO_2016_HIS_V01_M_V02_A_GMD_ALL.dta,6/25/2018 11:06:58 AM,5402745 bytes,\GEO\GEO_2016_HIS\GEO_2016_HIS_V01_M_V02_A_GMD\GEO_2016_HIS_V01_M_V02_A_GMD_ALL.dta,Subscribed,2,Publicly available for download for any registered users,Yes,7/12/2018 8:23:30 PM
